Nr.   Classes Functions      NCSS  Javadocs Package
  1         2         2        24         0 org.jsecurity.aop
  2         2        25       180         0 org.jsecurity.authc
  3         9        22       224         0 org.jsecurity.authc.credential
  4         5        28       221         0 org.jsecurity.authc.pam
  5         2        39       280         0 org.jsecurity.authz
  6        14        13       130         0 org.jsecurity.authz.aop
  7         3        10        77         0 org.jsecurity.authz.permission
  8         2         9        58         0 org.jsecurity.cache
  9         3        30       171         0 org.jsecurity.codec
 10         3        17       124         0 org.jsecurity.config
 11         1         3        26         0 org.jsecurity.crypto
 12         7        35       179         0 org.jsecurity.crypto.hash
 13         5        29       173         0 org.jsecurity.io
 14         2        13        95         0 org.jsecurity.jndi
 15         3        44       341         0 org.jsecurity.realm
 16         1         7        67         0 org.jsecurity.realm.activedirectory
 17         1        12        83         0 org.jsecurity.realm.jdbc
 18         1         4        31         0 org.jsecurity.realm.jndi
 19         3        20       148         0 org.jsecurity.realm.ldap
 20         2        14        96         0 org.jsecurity.realm.text
 21         1         1        12         0 org.jsecurity.session
 22        24        48       258         0 org.jsecurity.session.mgt
 23         2        24       143         0 org.jsecurity.subject
 24         7        83       377         0 org.jsecurity.util
 25         3        15        74         0 org.jsecurity.web
 26         1         2        10         0 org.jsecurity.web.attr
 27         1         1         8         0 org.jsecurity.web.servlet
 28         1         0         5         0 org.jsecurity.web.session
    --------- --------- --------- ---------
          111       550      3615         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    28.00    111.00    550.00   3615.00      0.00 | Project
               3.96     19.64    129.11      0.00 | Package
                         4.95     32.57      0.00 | Class
                                   6.57      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   52         9       0        0 org.jsecurity.jndi.JndiLocatorEvoSuiteTest
  2   26         4       0        0 org.jsecurity.jndi.JndiTemplateEvoSuiteTest
  3    4         1       0        0 org.jsecurity.cache.HashtableCacheManagerEvoSuiteTest
  4   42         8       0        0 org.jsecurity.cache.HashtableCacheEvoSuiteTest
  5   47         7       0        0 org.jsecurity.realm.activedirectory.ActiveDirectoryRealmEvoSuiteTest
  6   24         4       0        0 org.jsecurity.realm.jndi.JndiRealmFactoryEvoSuiteTest
  7    9         2       0        0 org.jsecurity.realm.CachingRealmEvoSuiteTest
