Nr.   Classes Functions      NCSS  Javadocs Package
  1         1         2        16         0 org.jsecurity
  2         3         5        49         0 org.jsecurity.aop
  3         4        66       452         0 org.jsecurity.authc
  4         9        23       227         0 org.jsecurity.authc.credential
  5         6        35       342         0 org.jsecurity.authc.pam
  6         4        85       607         0 org.jsecurity.authz
  7        14        13       144         0 org.jsecurity.authz.aop
  8         3        10        77         0 org.jsecurity.authz.permission
  9         2         9        59         0 org.jsecurity.cache
 10         3        34       195         0 org.jsecurity.codec
 11         4        27       195         0 org.jsecurity.config
 12         1         4        31         0 org.jsecurity.crypto
 13         7        39       200         0 org.jsecurity.crypto.hash
 14         6        34       209         0 org.jsecurity.io
 15         2        14       104         0 org.jsecurity.jndi
 16         4        47       352         0 org.jsecurity.realm
 17         1         7        69         0 org.jsecurity.realm.activedirectory
 18         1        12        85         0 org.jsecurity.realm.jdbc
 19         1         4        32         0 org.jsecurity.realm.jndi
 20         3        20       135         0 org.jsecurity.realm.ldap
 21         2        12        80         0 org.jsecurity.realm.text
 22         1         1        13         0 org.jsecurity.session
 23         1         0         6         0 org.jsecurity.session.mgt
 24         2        47       308         0 org.jsecurity.subject
 25         7        80       370         0 org.jsecurity.util
 26         3        15        76         0 org.jsecurity.web
 27         3        10        50         0 org.jsecurity.web.attr
 28         1         1         9         0 org.jsecurity.web.servlet
 29         1         0         6         0 org.jsecurity.web.session
    --------- --------- --------- ---------
          100       656      4498         0 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    29.00    100.00    656.00   4498.00      0.00 | Project
               3.45     22.62    155.10      0.00 | Package
                         6.56     44.98      0.00 | Class
                                   6.86      0.00 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   52         9       0        0 org.jsecurity.jndi.JndiLocatorEvoSuiteTest
  2   29         5       0        0 org.jsecurity.jndi.JndiTemplateEvoSuiteTest
  3    4         1       0        0 org.jsecurity.cache.HashtableCacheManagerEvoSuiteTest
  4   40         8       0        0 org.jsecurity.cache.HashtableCacheEvoSuiteTest
  5   48         7       0        0 org.jsecurity.realm.activedirectory.ActiveDirectoryRealmEvoSuiteTest
  6   24         4       0        0 org.jsecurity.realm.jndi.JndiRealmFactoryEvoSuiteTest
  7   26         5       0        0 org.jsecurity.realm.AuthenticatingRealmEvoSuiteTest
  8   11         2       0        0 org.jsecurity.realm.CachingRealmEvoSuiteTest
  9   32         6       0        0 org.jsecurity.realm.text.TextConfigurationRealmEvoSuiteTest
 10   27         6       0        0 org.jsecurity.realm.text.PropertiesRealmEvoSuiteTest
 11   63        12       0        0 org.jsecurity.realm.jdbc.JdbcRealmEvoSuiteTest
 12  204        31       0        0 org.jsecurity.realm.AuthorizingRealmEvoSuiteTest
 13   31         7       0        0 org.jsecurity.realm.ldap.AbstractLdapRealmEvoSuiteTest
 14   63        10       0        0 org.jsecurity.realm.ldap.DefaultLdapContextFactoryEvoSuiteTest
 15   11         3       0        0 org.jsecurity.realm.ldap.LdapUtilsEvoSuiteTest
 16   51         9       0        0 org.jsecurity.realm.SimpleAccountRealmEvoSuiteTest
